product_name,category,main_source_image,alternate_source_images,all_source_images,gbp_use,status
Heartlight Anniversary Wall Decor,Customized Gifts,creations/segregated/customized-gifts/customized-gift-detail-01-002.jpg,creations/segregated/customized-gifts/customized-gift-detail-01-001.jpg,creations/segregated/customized-gifts/customized-gift-detail-01-002.jpg; creations/segregated/customized-gifts/customized-gift-detail-01-001.jpg,Main product image,added_to_google_business_profile
Floating Lantern Room Decor,Customized Gifts,creations/segregated/customized-gifts/customized-gift-detail-02.jpg,"",creations/segregated/customized-gifts/customized-gift-detail-02.jpg,Main product image,added_to_google_business_profile
Love Glow Balloon Decor,Customized Gifts,creations/segregated/customized-gifts/customized-gift-detail-03-001.jpg,"",creations/segregated/customized-gifts/customized-gift-detail-03-001.jpg,Main product image,added_to_google_business_profile
Petal Heart Hand Portrait,Customized Gifts,creations/segregated/customized-gifts/customized-gift-detail-04.jpg,"",creations/segregated/customized-gifts/customized-gift-detail-04.jpg,Main product image,added_to_google_business_profile
Midnight Birthday Hamper,Customized Gifts,creations/segregated/customized-gifts/customized-gift-detail-06-001.jpg,creations/segregated/customized-gifts/customized-gift-detail-06-002.jpg,creations/segregated/customized-gifts/customized-gift-detail-06-001.jpg; creations/segregated/customized-gifts/customized-gift-detail-06-002.jpg,Main product image,added_to_google_business_profile
Balloon Note Keepsake,Customized Gifts,creations/segregated/customized-gifts/customized-gift-detail-10-001.jpg,creations/segregated/customized-gifts/customized-gift-detail-10-002.jpg,creations/segregated/customized-gifts/customized-gift-detail-10-001.jpg; creations/segregated/customized-gifts/customized-gift-detail-10-002.jpg,Main product image,added_to_google_business_profile
Strawberry Party Favor Set,Customized Gifts,creations/segregated/customized-gifts/customized-gift-detail-12-002.jpg,creations/segregated/customized-gifts/customized-gift-detail-12-001.jpg,creations/segregated/customized-gifts/customized-gift-detail-12-002.jpg; creations/segregated/customized-gifts/customized-gift-detail-12-001.jpg,Main product image,added_to_google_business_profile
Royal Birthday Light Board,Customized Gifts,creations/segregated/customized-gifts/customized-gift-detail-15.jpg,"",creations/segregated/customized-gifts/customized-gift-detail-15.jpg,Main product image,added_to_google_business_profile
Fruit Garden First Birthday Backdrop,Customized Gifts,creations/segregated/customized-gifts/customized-gift-detail-16.jpg,"",creations/segregated/customized-gifts/customized-gift-detail-16.jpg,Main product image,added_to_google_business_profile
Thoughtful Teacher Keepsake,Customized Gifts,creations/segregated/customized-gifts/customized-gift-detail-18.jpg,"",creations/segregated/customized-gifts/customized-gift-detail-18.jpg,Main product image,added_to_google_business_profile
Moonlight Star Gift Boxes,Customized Gifts,creations/segregated/customized-gifts/customized-gift-detail-22.png,"",creations/segregated/customized-gifts/customized-gift-detail-22.png,Main product image,added_to_google_business_profile
Purple Chenille Lily Stem,Chenille Craft,creations/segregated/chenille-craft/chenille-floral-01.jpg,"",creations/segregated/chenille-craft/chenille-floral-01.jpg,Main product image,added_to_google_business_profile
Golden Bloom Lace Panel,Outline Art,creations/segregated/outline-art/golden-bloom-outline-01.jpg,"",creations/segregated/outline-art/golden-bloom-outline-01.jpg,Main product image,added_to_google_business_profile
Candy Dot Lamasa Trinket Garden,Lamasa Decor,creations/segregated/lamasa/lamasa-decor-01.jpg,"",creations/segregated/lamasa/lamasa-decor-01.jpg,Main product image,added_to_google_business_profile
Moonlit Star Lamasa Tray,Lamasa Decor,creations/segregated/lamasa/lamasa-decor-02.png,"",creations/segregated/lamasa/lamasa-decor-02.png,Main product image,added_to_google_business_profile
Sunflower Garden Wall Hanging,Lamasa Decor,creations/segregated/lamasa/lamasa-decor-04.jpg,"",creations/segregated/lamasa/lamasa-decor-04.jpg,Main product image,added_to_google_business_profile
Custom Heritage Portrait Painting,Paintings,creations/segregated/paintings/hand-painted-artwork-01-006.png,"",creations/segregated/paintings/hand-painted-artwork-01-006.png,Main product image,added_to_google_business_profile
Storybook Garden Bookmark Trio,Paintings,creations/segregated/paintings/hand-painted-artwork-02.jpg,"",creations/segregated/paintings/hand-painted-artwork-02.jpg,Main product image,added_to_google_business_profile
Blue Blossom Note Set,Paintings,creations/segregated/paintings/hand-painted-artwork-03.jpg,"",creations/segregated/paintings/hand-painted-artwork-03.jpg,Main product image,added_to_google_business_profile
Festival Bloom Gift Tags,Paintings,creations/segregated/paintings/hand-painted-artwork-09.jpg,"",creations/segregated/paintings/hand-painted-artwork-09.jpg,Main product image,added_to_google_business_profile
Marigold Border Bookmark Set,Paintings,creations/segregated/paintings/hand-painted-artwork-21.jpg,"",creations/segregated/paintings/hand-painted-artwork-21.jpg,Main product image,added_to_google_business_profile
Bridal Mehendi Full Hand Design,Mehendi,creations/segregated/mehendi/mehendi-design-54.jpg,"",creations/segregated/mehendi/mehendi-design-54.jpg,Optional product-style service card,added_to_google_business_profile
Festive Mehendi Hand Design,Mehendi,creations/segregated/mehendi/mehendi-design-42.jpg,"",creations/segregated/mehendi/mehendi-design-42.jpg,Optional product-style service card,added_to_google_business_profile
Minimal Wrist Mehendi Design,Mehendi,creations/segregated/mehendi/mehendi-design-66.jpg,"",creations/segregated/mehendi/mehendi-design-66.jpg,Optional product-style service card,added_to_google_business_profile
